Date,Meeting,Agenda Link,Minutes Link
1998-05-21,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1998/Agenda_C_0078.pdf,http://boardarchives.metro.net/Minutes/1998/11005421.pdf
1998-06-08,Special Board Meeting,http://boardarchives.metro.net/Agendas/1998/Agenda_C_0090.pdf,http://boardarchives.metro.net/Minutes/1998/11005506.pdf
1998-06-24,Special Board Meeting,http://boardarchives.metro.net/Agendas/1998/Agenda_C_0089.pdf,http://boardarchives.metro.net/Minutes/1998/11005507.pdf
1998-06-25,Regular Board Meeting,"http://boardarchives.metro.net/Agendas/1998/Agenda_C_0081.pdf
http://boardarchives.metro.net/Agendas/1998/Agenda_C_0082.pdf",http://boardarchives.metro.net/Minutes/1998/11005508.pdf
1998-07-23,Regular Board Meeting,"http://boardarchives.metro.net/Agendas/1998/Agenda_C_0091.pdf
http://boardarchives.metro.net/Agendas/1998/Agenda_C_0092.pdf",http://boardarchives.metro.net/Minutes/1998/11005515.pdf
1998-08-27,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1998/Agenda_C_0108.pdf,http://boardarchives.metro.net/Minutes/1998/11002224.pdf
1998-09-28,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1998/Agenda_C_0034.pdf,http://boardarchives.metro.net/Minutes/1998/11000829.pdf
1998-10-22,Regular Board Meeting,"http://boardarchives.metro.net/Agendas/1998/Agenda_C_0015.pdf
http://boardarchives.metro.net/Agendas/1998/Agenda_C_0016.pdf",http://boardarchives.metro.net/Minutes/1998/11000830.pdf
1998-10-29,Special Board Meeting,http://boardarchives.metro.net/Agendas/1998/Agenda_C_0004.pdf,http://boardarchives.metro.net/Minutes/1998/11000831.pdf
1998-11-09,Special Board Meeting,,http://boardarchives.metro.net/Minutes/1998/11000832.pdf
1998-11-19,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1998/Agenda_C_0003.pdf,http://boardarchives.metro.net/Minutes/1999/Minutes_B_0005.pdf
1998-12-09,Special Board Meeting,http://boardarchives.metro.net/Agendas/1998/Agenda_C_0001.pdf,http://boardarchives.metro.net/Minutes/1999/Minutes_B_0010.pdf
1999-01-28,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1999/Agendas_C_0034.pdf,http://boardarchives.metro.net/Minutes/1999/Minutes_B_0007.pdf
1999-02-25,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1999/Agendas_C_0047.pdf,http://boardarchives.metro.net/Minutes/1999/Minutes_B_0006.pdf
1999-03-25,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1999/Agendas_C_0041.pdf,http://boardarchives.metro.net/Minutes/1999/Minutes_B_0009.pdf
1999-04-29,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1999/Agendas_C_0066.pdf,http://boardarchives.metro.net/Minutes/1999/Minutes_B_0008.pdf
1999-05-10,Special Board Meeting,http://boardarchives.metro.net/Agendas/1999/Agendas_C_0069.pdf,http://boardarchives.metro.net/Minutes/1999/Minutes_B_0011.pdf
1999-05-24,Special Board Meeting,http://boardarchives.metro.net/Agendas/1999/Agendas_C_0059.pdf,http://boardarchives.metro.net/Minutes/1999/Minutes_B_0016.pdf
1999-05-27,Regular Board Meeting,"http://boardarchives.metro.net/Agendas/1999/Agendas_C_0050.pdf
http://boardarchives.metro.net/Agendas/1999/Agendas_C_0051.pdf",http://boardarchives.metro.net/Minutes/1999/Minutes_B_0012.pdf
1999-06-07,Special Board Meeting,,http://boardarchives.metro.net/Minutes/1999/71999item2.pdf
1999-06-17,Special Board Meeting,http://boardarchives.metro.net/Agendas/1999/Agendas_C_0074.pdf,http://boardarchives.metro.net/Minutes/1999/Minutes_B_0015.pdf
1999-06-24,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1999/Agendas_C_0072.pdf,http://boardarchives.metro.net/Minutes/1999/Minutes_B_0014.pdf
